gene_name,aro_id,aro_name,antibiotic_class
CblA-1,3002999,CblA-1,
SHV-52,3001109,SHV-52,
dfrF,3002867,dfrF,
CTX-M-130,3001989,CTX-M-130,
NDM-6,3002356,NDM-6,
ACT-35,3001855,ACT-35,
CARB-5,3002244,CARB-5,
Erm(34),3000600,Erm(34),
TEM-126,3000988,TEM-126,
LRA-12,3002511,LRA-12,
TEM-72,3000938,TEM-72,
TEM-59,3000928,TEM-59,
KPC-10,3002320,KPC-10,
OXA-212,3001711,OXA-212,
IMP-2,3002193,IMP-2,
CMY-1,3002012,CMY-1,
OXA-329,3001517,OXA-329,
ACT-10,3001832,ACT-10,
OXA-371,3001557,OXA-371,
fusB,3003552,fusB,
CTX-M-121,3001980,CTX-M-121,
VEB-3,3002372,VEB-3,
lnuA,3002835,lnuA,
OXA-45,3001794,OXA-45,
OXA-226,3001800,OXA-226,
CTX-M-155,3003163,CTX-M-155,
DHA-15,3002146,DHA-15,
msrE,3003109,msrE,
OXY-6-3,3002415,OXY-6-3,
FosA2,3002804,FosA2,
APH(3')-Va,3002649,APH(3')-Va,
AAC(3)-Ia,3002528,AAC(3)-Ia,
QnrB58,3002771,QnrB58,
rmtH,3003198,rmtH,
OXY-6-1,3002413,OXY-6-1,
golS,3000504,golS,
mdtP,3003550,mdtP,
CMY-114,3002125,CMY-114,
OXA-60,3001808,OXA-60,
OXA-90,3001650,OXA-90,
SME-2,3002380,SME-2,
AAC(3)-IIIc,3002538,AAC(3)-IIIc,
OXY-2-2,3002397,OXY-2-2,
MOX-5,3002188,MOX-5,
TEM-34,3000904,TEM-34,
OXA-69,3001617,OXA-69,
TEM-7,3000879,TEM-7,
SHV-24,3001082,SHV-24,
QnrB47,3002762,QnrB47,
OXA-256,3001502,OXA-256,
QnrS6,3002795,QnrS6,
OXA-330,3001518,OXA-330,
CMY-42,3002053,CMY-42,
AAC(6')-Ib,3002546,AAC(6')-Ib,
CMY-70,3002083,CMY-70,
GES-21,3002350,GES-21,
SHV-41,3001099,SHV-41,
OXA-391,3001577,OXA-391,
TEM-132,3000996,TEM-132,
aadA23,3002620,aadA23,
NDM-10,3002360,NDM-10,
QnrB66,3002778,QnrB66,
SHV-42,3001100,SHV-42,
OXA-35,3001429,OXA-35,
SHV-18,3001076,SHV-18,
fusH,3003026,fusH,
SHV-79,3001133,SHV-79,
TEM-47,3000916,TEM-47,
TEM-16,3000887,TEM-16,
VIM-37,3002307,VIM-37,
ACT-29,3001849,ACT-29,
FOX-3,3002157,FOX-3,
PER-4,3002366,PER-4,
GIM-1,3000845,GIM-1,
IMP-42,3002233,IMP-42,
TEM-102,3000965,TEM-102,
TEM-116,3000979,TEM-116,
CMY-55,3002066,CMY-55,
gadX,3000508,gadX,
CTX-M-42,3001904,CTX-M-42,
SHV-105,3001154,SHV-105,
CMY-79,3002092,CMY-79,
CMY-56,3002067,CMY-56,
OXA-426,3003149,OXA-426,
CMY-48,3002059,CMY-48,
QnrB38,3002753,QnrB38,
TEM-109,3000972,TEM-109,
TLA-2,3003203,TLA-2,
SHV-12,3001071,SHV-12,
OXA-61,3001773,OXA-61,
CARB-4,3002243,CARB-4,
catB9,3002681,catB9,
TEM-43,3000912,TEM-43,
PDC-8,3002507,PDC-8,
ErmE,3000326,ErmE,
AAC(6')-Iu,3002565,AAC(6')-Iu,
VEB-5,3002375,VEB-5,
dfrA13,3003012,dfrA13,
TEM-87,3000954,TEM-87,
QnrB18,3002733,QnrB18,
LRA-9,3002488,LRA-9,
VIM-12,3002282,VIM-12,
aadA4,3002604,aadA4,
mdtF,3000796,mdtF,
VIM-34,3002304,VIM-34,
SHV-64,3001119,SHV-64,
IND-7,3002263,IND-7,
SHV-182,3001364,SHV-182,
TEM-183,3001045,TEM-183,
clbB,3002815,clbB,
srmB,3002828,srmB,
FosX,3000198,FosX,
CTX-M-112,3001972,CTX-M-112,
CTX-M-50,3001912,CTX-M-50,
TEM-198,3001057,TEM-198,
